id,source,year,population,n,design,intervention_or_topic,outcome,scale,estimate,uncertainty,type,notes
E1,"Hewitt Ashokkumar Ghezae Willer, Nature (treatmenteffect.app archive)",2024,US nationally representative (TESS+replications),"70 experiments; 476 effects; 105165 participants",archive re-analysis + GPT-4 simulation,LLM simulation of survey experiments,correlation predicted vs actual ATE,r,0.85,"r_adj=0.91",published,"Per-respondent demographic-profile prompting (gender/age/race/education/ideology/party drawn from nat-rep sample); ensemble over prompt bank; average responses per condition"
E2,"Hewitt et al. Nature",2024,US,"33 studies; 273 effects",unpublished-subset holdout,LLM simulation (no training leakage),correlation,r,0.90,"r_adj=0.94; 88% directional on significant contrasts",published,Accuracy NOT driven by memorization
E3,"Hewitt et al. Nature",2024,US,476 effects,calibration analysis,LLM simulation raw magnitudes,RMSE,pp,10.9,"vs human forecasters 8.4pp",published,"GPT-4 systematically OVERESTIMATES effects"
E4,"Hewitt et al. Nature",2024,US,476 effects,calibration analysis,LINEAR SHRINKAGE of LLM-derived ATEs,shrink factor,unitless,0.56,"post-shrink RMSE 5.3pp (forecasters 6.0pp)",published,"THE externally validated conservative calibration coefficient"
E5,"Hewitt et al. Nature",2024,US,"9 megastudies; 346 effects; 1.81M participants",megastudy holdout,LLM simulation within megastudies,correlation (survey megastudies),r,0.47,"r_adj=0.61; 79% directional",published,"Within-megastudy prediction much harder (same-direction treatments, small contrasts). OUR EXACT REGIME"
E6,"Hewitt et al. Nature",2024,US,expert-forecast subset,expert comparison,expert forecasts within megastudies,correlation,r,0.25,"r_adj=0.27; 66% directional",published,LLM (r=0.37/r_adj=0.41) beats experts within megastudies
E7,"Hewitt et al. Nature",2024,US,476 effects,subgroup analysis,LLM interaction-effect prediction,correlation of interaction effects,r_adj,"0.17 (gender) / 0.55 (ethnicity) / 0.41 (party)","raw r ~0",published,"Subgroup CATE levels OK (r_adj .85-.90) but INTERACTIONS poorly predicted -> regularize moderator deviations hard"
E8,"Hewitt et al. Nature",2024,US,archive subsets,robustness,studies targeting existing attitudes,correlation,r_adj,~0.57,figure 2D,published,"Lower accuracy where outcomes are entrenched attitudes — climate is exactly this"
E9,"Vlasceanu et al., Sci Adv adj5778",2024,63 countries (US subset available),59440,megastudy 11 interventions,best single intervention on BELIEF (psych distance),pp change,%,2.3,small,published,One-shot text: tiny belief movement
E10,"Vlasceanu et al.",2024,63 countries,59440,megastudy,best single intervention on POLICY SUPPORT (letter future gen),pp change,%,2.6,small,published,
