condition,closest_evidence,evidence_ids,expected_direction,expected_magnitude_trust_pp,notes
Corporate reliance,"private-sector reliance on climate models ~ institutional credibility framing",E16 E18,+,0.5-2,"Novel angle; utility framing; modest prior"
Social justice,"climate-justice moral framing; advocacy megastudy moral conditions",E17 E18,+ (Dem) / 0- (Rep),0-1.5,"Politicizing frame; possible Rep backlash on trust; net small"
Interview Prof. Maraun,"scientist humanization / self-disclosure interviews",E14 E15 E18,+,1-3,"Personal voice; benevolence/openness subscales most movable"
Funding,"funding-source transparency; institutional constraints",E16,+,0.5-2,"Also targets funding_perceptions directly (+1-3 there)"
Oil industry misinformation,"inoculation vs industry misinformation (s44168); consensus-attack exposure",E13 E18,+ trust / + funding,1-3,"Strong narrative; risk of reactance among Reps; also moves belief"
Measurement & modeling (1),"history/methods of climate science paragraph",E14 E15,+,1-2.5,"pgae485 History analog: +2.36 belief, +2.08 skill"
Former skeptics,"conversion narratives; conservative messengers (Nature CC 2021)",E17,+ esp. Rep,1-3,"In-group messenger for Reps; among stronger trust candidates"
High public trust,"descriptive trust norms",E13 E18,+,0.5-2,"Norm information; perceived-consensus analog"
Measurement & modeling (2),"who climate scientists are + methods",E14 E15,+,1-2.5,"Near-duplicate family of M&M(1)"
Peer-review,"peer review/accountability explanation",E14 E16,+,1-2.5,"Integrity/competence subscales"
Scientist community helpers,"scientists as neighbors/community preparation",E15 E17,+,1-3,"Benevolence-targeted; concrete local benefit"
Consensus,"97% consensus messaging (27-country; Vlasceanu arm)",E13,+ belief/trust small,0.5-2,"Well-studied: moves perceived consensus a lot, belief/trust ~1-2pp; action liberals only"
Portrait Prof. Cherry,"scientist humanization portrait (hobbies, community)",E14 E15,+,1-3,"Relatable persona; WY/football counters stereotype; benevolence"
Model accuracy,"historical model accuracy evidence (GRL 2019)",E14,+,1-2.5,"Competence-targeted; factual accuracy alone ≠ large effect"
Interview Prof. Sebille,"values-in-science interview",E14 E15,+,1-3,"Values transparency; openness subscale"
Extreme weather predictions,"local extreme-weather attribution + forecasting benefit (state-adaptive)",E9 E17,+,1.5-3.5,"Personal relevance strongest lever; proximal local benefit; plausible top-3 on trust"
ALL,"outcome-family scaling",E5 E8 E9-E12 E18,,,"Trust outcomes: full prior. belief/concern/policy/funding/inst: scale x0.3-0.7 of trust effect. behavior_mean: ~0. donation: 0-0.2$. newsletter: 0-2pp."
